date,commodity,FCX,SCCO,BHP
2018-01-03,-0.005835397162438194,-0.01517474740354996,0.0018401529384048931,0.003998180281653996
2018-01-04,0.0016991282733207491,0.013867494142111747,-0.005102575960701405,0.0018864627797794409
2018-01-05,-0.010948357397126518,0.008105607527369774,0.007796017967358626,0.007113073036335127
2018-01-08,-0.001870920464469461,-0.0045228976214986005,0.0046827572767118575,0.007478066279106965
2018-01-09,-0.0020306172359875196,-0.04492678154710472,-0.005876745629208924,0.007010182809888299
2018-01-10,0.006417262445681304,0.031184099181990277,0.00815338313381031,0.000614146603879151
2018-01-11,-0.00046652918232359397,0.0189647190358726,0.01294000163539466,0.01636997496313386
2018-01-12,-0.004201019171717446,-0.006539339207794592,-0.0033932002900617375,0.020535612689161598
2018-01-16,-0.000312551851383569,-0.021772178068135917,-0.011816591231119555,-0.029196924615948805
2018-01-17,-0.010159359610206864,0.023292078996286047,0.009930737707963377,0.004673577749154889
2018-01-18,0.0033159494457757344,-0.018715093314091602,-0.006221008232368708,-0.002224691374369314
2018-01-19,-0.003147620497063297,0.02886566899578802,0.01655889842253022,0.006486869274176188
2018-01-22,0.003315425967870711,0.0015029239908790348,-0.004965964045550941,-0.0042297795857569875
2018-01-23,-0.027694747085346916,-0.022010936182015106,-0.018566831122669547,-0.01395610609764475
2018-01-24,0.038517546511880996,0.0025576940867446663,0.01688361840731467,0.018666521439280936
2018-01-25,-0.0029608935558543825,0.011224235878375843,0.0012002492172997759,-0.015102585443441008
2018-01-26,-0.005157860830024563,-0.014126624277569055,0.011588538164437612,0.022285890514629036
2018-01-30,-0.0017281508186915984,-0.020983144033735357,-0.051352961063306224,-0.021800056834796022
2018-01-31,0.0022033268434251685,0.019341550574335953,0.010826807105694503,0.0022489486035588424
2018-02-01,0.004082918147547465,-0.002564143499505289,0.012358129354642644,0.005915926244458802
2018-02-02,-0.006412244140026391,-0.07609223854637281,-0.03560518920587186,-0.030014186043060498
2018-02-05,0.010703579100737493,-0.017807735989565976,-0.011603502055164472,-0.028433836422178893
2018-02-06,-0.010278770394331227,0.061756519554313494,0.02497363018976917,0.027114023645016916
2018-02-07,-0.031786017393788946,-0.04695855569648977,-0.01665998519199907,-0.02786498041908214
2018-02-08,-0.001462672631639017,-0.03919376352738302,-0.03706034082836107,-0.03534478543340669
2018-02-09,-0.015462282910649994,0.02389278698211572,0.022652316283670926,0.0223412884953762
2018-02-12,0.017523628231914,0.0,0.014502005656813255,0.022727362217300096
2018-02-13,0.025020276230865335,0.013090343414347005,0.030509988575603053,0.020085446177896538
2018-02-14,0.023458513731307917,0.074157432507034,0.056728536888696945,0.03225814651106984
2018-02-15,0.0032523441232790162,0.0,-0.004506186723397865,0.012784013852774612
2018-02-16,0.0012349331276020337,-0.02039748484740067,-0.006101199460842421,-0.02444413205560403
2018-02-20,-0.01757629394459459,-0.016016889781781507,-0.0005942885634445672,-0.04395134163055925
2018-02-21,0.008003709930657354,0.016277606409554668,-0.012482180758297656,-0.0017185279510611995
2018-02-22,0.008095912645034176,0.02295796414449125,0.016853692001733478,0.02431651926612699
2018-02-23,-0.008957542639736693,0.020354787908048566,0.029400118143573684,0.01470609706835213
2018-02-26,-0.003895842176036113,-0.001022925977770095,0.03086051586637062,0.011594141330534047
2018-02-27,-0.012046329592340088,-0.022529475698062407,-0.006693769820040774,-0.02189913138763866
2018-02-28,-0.015835297502211465,-0.025667966178523294,-0.012916591864229443,-0.02699328770754461
2018-03-01,-0.0025744602495051394,-0.0032257443799963426,0.007017246936241728,-0.016774199058447126
2018-03-02,0.000483990878633378,-0.011866082247561471,-0.0028248757129716306,-0.006342847886663727
2018-03-05,0.0014511164655126585,-0.007096529048327138,0.005854292565648178,0.00594301142311493
2018-03-06,0.010143326763355054,0.028037723749583465,0.027975929614501238,0.021225490898165278
2018-03-07,-0.007331846124333907,-0.031015971802488274,0.001096209226370437,-0.016498863077928805
2018-03-08,-0.017822745361537606,-0.013797011919410296,-0.015508523883394743,-0.0022318760512866076
2018-03-09,0.0188000276576461,0.03133758287875721,0.011119313730795,0.012974945130119986
2018-03-12,-0.0038510416390099556,0.007053598801632921,-0.0031156472945808034,0.003975408806282665
2018-03-13,0.004832431070610044,-0.004310527788338736,-0.003309452659475798,-0.014518228215769313
2018-03-14,0.0067329743983237655,0.009740646324280622,0.009038874657375295,0.008035602985469792
2018-03-15,-0.009235682452279237,-0.013397966862983113,-0.0036562262862681605,0.0011071614854354372
2018-03-16,-0.005785961276715712,-0.0027156138999123725,0.0029356937797044846,0.004645237214801146
2018-03-19,-0.00759779054653742,-0.016884567715040877,-0.004025010774492022,-0.026640464787557105
2018-03-20,-0.014334553116817084,0.02437653077087787,0.012490896541428098,0.010405071954024736
2018-03-21,0.007602049729914517,0.03731749460933753,0.013244122941741487,0.025744120409085358
2018-03-22,-0.01197309377760758,-0.05891537611419495,-0.02757382333353886,-0.039502313786734966
2018-03-23,-0.009130196487932896,-0.02936281799702567,-0.01565109294923217,-0.00022712054131179826
2018-03-26,-0.008041524536863243,0.01312739613917313,0.010288236930529049,0.018636190634047534
2018-03-27,0.010471170035652788,-0.028732025407645967,-0.01166468324618608,-0.016064116490409286
2018-03-28,0.0008357203086570841,-0.028422417072748618,-0.0177969330214387,-0.013832344452250123
2018-03-29,0.008350065370011484,0.048955185044397886,0.03337772160401786,0.02161417461245163
2018-04-02,0.00712152097625407,-0.02447350490048661,0.0009230657717189672,-0.016880368669074164
