date,commodity,FCX,SCCO,BHP
2018-01-02,3.25600004196167,17.80556869506836,32.56319808959961,24.648435592651367
2018-01-03,3.236999988555908,17.53537368774414,32.62311935424805,24.746984481811523
2018-01-04,3.242500066757202,17.778545379638672,32.45665740966797,24.793668746948242
2018-01-05,3.2070000171661377,17.922651290893555,32.70969009399414,24.970027923583984
2018-01-08,3.2009999752044678,17.841588973999023,32.86286163330078,25.156755447387695
2018-01-09,3.194499969482422,17.040023803710938,32.669734954833984,25.33310890197754
2018-01-10,3.2149999141693115,17.571401596069336,32.93610382080078,25.34866714477539
2018-01-11,3.2135000228881836,17.904638290405273,33.36229705810547,25.76362419128418
2018-01-12,3.200000047683716,17.787553787231445,33.24909210205078,26.292695999145508
2018-01-16,3.1989998817443848,17.400279998779297,32.856201171875,25.5250301361084
2018-01-17,3.1665000915527344,17.80556869506836,33.18248748779297,25.644323348999023
2018-01-18,3.177000045776367,17.472335815429688,32.97605895996094,25.58727264404297
2018-01-19,3.1670000553131104,17.976686477661133,33.5221061706543,25.753253936767578
2018-01-22,3.177500009536743,18.003704071044922,33.35563659667969,25.644323348999023
2018-01-23,3.0894999504089355,17.607425689697266,32.736328125,25.286428451538086
2018-01-24,3.2084999084472656,17.6524600982666,33.28903579711914,25.758438110351562
2018-01-25,3.1989998817443848,17.850595474243164,33.3289909362793,25.36941909790039
2018-01-26,3.182499885559082,17.598426818847656,33.71522521972656,25.934799194335938
2018-01-30,3.177000045776367,17.229156494140625,31.983848571777344,25.36941909790039
2018-01-31,3.184000015258789,17.562395095825195,32.33013153076172,25.42647361755371
2018-02-01,3.197000026702881,17.517362594604492,32.729671478271484,25.576894760131836
2018-02-02,3.176500082015991,16.18442726135254,31.5643253326416,24.80922508239746
2018-02-05,3.2105000019073486,15.896219253540039,31.198068618774414,24.103803634643555
2018-02-06,3.177500009536743,16.877914428710938,31.977197647094727,24.757354736328125
2018-02-07,3.0764999389648438,16.085351943969727,31.4444580078125,24.06749153137207
2018-02-08,3.072000026702881,15.454906463623047,30.279115676879883,23.21683120727539
2018-02-09,3.0244998931884766,15.824167251586914,30.965007781982422,23.735525131225586
2018-02-12,3.077500104904175,15.824167251586914,31.4140625,24.27497100830078
2018-02-13,3.1545000076293945,16.03131103515625,32.37250518798828,24.762544631958008
